Name,RA,Dec,Type,Subtype,Constellation,V Magnitude
NGC 1952 Crab Nebula,83.625,22.01666667,SupernovaRemnant,None,Taurus,8.4
NGC 7089,323.375,-0.816666667,Cluster,Globular,Aquarius,6.5
NGC 5272,205.55,28.38333333,Cluster,Globular,Canes Venatici,6.2
NGC 6121,245.9,-26.53333333,Cluster,Globular,Scorpius,5.6
NGC 5904,229.65,2.083333333,Cluster,Globular,Serpens Caput,5.6
NGC 6405 Butterfly Cluster,265.025,-32.21666667,Cluster,Open,Scorpius,5.3
NGC 6475 Ptolemy¹s Cluster,268.475,-34.81666667,Cluster,Open,Scorpius,4.1
NGC 6523 Lagoon Nebula,270.95,-24.38333333,Nebula,Diffuse,Sagittarius,6
NGC 6333,259.8,-18.51666667,Cluster,Globular,Ophiucus,7.7
NGC 6254,254.275,-4.1,Cluster,Globular,Ophiucus,6.6
NGC 6705 Wild Duck Cluster,282.775,-6.266666667,Cluster,Open,Scutum,6.3
NGC 6218,251.8,-1.95,Cluster,Globular,Ophiucus,6.7
NGC 6205 Hercules Globular Cluster,250.425,36.46666667,Cluster,Globular,Hercules,5.8
NGC 6402,264.4,-3.25,Cluster,Globular,Ophiucus,7.6
NGC 7078,322.5,12.16666667,Cluster,Globular,Pegasus,6.2
NGC 6611 Eagle Nebula Cluster,274.7,-13.78333333,Cluster,Open,Serpens Claudia,6.4
"NGC 6618 Omega, Swan, Horseshoe Nebula",275.2,-16.18333333,Nebula,Diffuse,Sagittarius,7
NGC 6613,274.975,-17.13333333,Cluster,Open,Sagittarius,7.5
NGC 6273,255.65,-26.26666667,Cluster,Globular,Ophiucus,6.8
NGC 6514 Trifid Nebula,270.575,-23.03333333,Nebula,Diffuse,Sagittarius,9
NGC 6531,271.15,-22.5,Cluster,Open,Sagittarius,6.5
NGC 6656,279.1,-23.9,Cluster,Globular,Sagittarius,5.1
NGC 6494,269.2,-19.01666667,Cluster,Open,Sagittarius,6.9
NGC 6603 Milky Way Patch,274.6,-18.41666667,StarCloud,None,Sagittarius,4.6
IC 4725,277.925,-19.23333333,Cluster,Open,Sagittarius,6.5
NGC 6694,281.3,-9.4,Cluster,Open,Scutum,8
NGC 6853 Dumbbell Nebula,299.9,22.71666667,Nebula,Planetary,Vulpecula,7.4
NGC 6626,276.125,-24.86666667,Cluster,Globular,Sagittarius,6.8
NGC 6913,305.975,38.53333333,Cluster,Open,Cygnus,7.1
NGC 7099,325.1,-23.18333333,Cluster,Globular,Capricornus,7.2
NGC 224 Andromeda Galaxy,10.675,41.26666667,Galaxy,Spiral,Andromeda,3.4
NGC 221 Satellite of M31,10.675,40.86666667,Galaxy,Elliptical,Andromeda,8.1
NGC 598 Triangulum-Pinwheel Galaxy,23.475,30.65,Galaxy,Spiral,Triangulum,5.7
NGC 1039,40.5,42.78333333,Cluster,Open,Perseus,5.5
NGC 2168,92.225,24.33333333,Cluster,Open,Gemini,5.3
NGC 1960,84.025,34.13333333,Cluster,Open,Auriga,6.3
NGC 2099,88.1,32.55,Cluster,Open,Auriga,6.2
NGC 1912,82.175,35.83333333,Cluster,Open,Auriga,7.4
NGC 7092,323.05,48.43333333,Cluster,Open,Cygnus,5.2
Winecke 4,185.55,58.08333333,Star,Double,Ursa Major,9.3
NGC 2287,101.75,-20.73333333,Cluster,Open,Canis Major,4.6
NGC 1976 Great Orion Nebula,83.85,-5.45,Nebula,Diffuse,Orion,4
NGC 1982 de Mairan¹s Nebula,83.9,-5.266666667,Nebula,Diffuse,Orion,9
NGC 2632 Beehive Cluster (Praesepe),130.025,19.98333333,Cluster,Open,Cancer,3.7
"Pleiades, Subaru, Seven Sisters",56.75,24.12,Cluster,Open,Taurus,1.6
NGC 2437,115.45,-14.81666667,Cluster,Open,Puppis,6
NGC 2422,114.15,-14.5,Cluster,Open,Puppis,5.2
NGC 2548,123.45,-5.8,Cluster,Open,Hydra,5.5
NGC 4472,187.45,8,Galaxy,Elliptical,Virgo,8.4
NGC 2323,105.8,-8.333333333,Galaxy,Open,Monocerus,6.3
NGC 5194 Whirlpool Galaxy,202.475,47.2,Galaxy,Spiral,Canes Venatici,8.4
NGC 7654,351.05,61.58333333,Cluster,Open,Cassiopeia,7.3
NGC 5024,198.225,18.16666667,Cluster,Globular,Coma Berenices,7.6
NGC 6715,283.775,-30.48333333,Cluster,Globular,Sagittarius,7.6
NGC 6809,295,-30.96666667,Cluster,Globular,Sagittarius,6.3
NGC 6779,289.15,30.18333333,Cluster,Globular,Lyra,8.3
NGC 6720 Ring Nebula,283.4,33.03333333,Nebula,Planetary,Lyra,8.8
NGC 4579,189.425,11.81666667,Galaxy,Spiral,Virgo,9.7
NGC 4621,190.5,11.65,Galaxy,Elliptical,Virgo,9.6
NGC 4649,190.925,11.55,Galaxy,Elliptical,Virgo,8.8
NGC 4303,185.475,4.466666667,Galaxy,Spiral,Virgo,9.7
NGC 6266,255.3,-30.11666667,Cluster,Globular,Ophiucus,6.5
NGC 5055 Sunflower Galaxy,198.95,42.03333333,Galaxy,Spiral,Canes Venatici,8.6
NGC 4826 Blackeye Galaxy,194.175,21.68333333,Galaxy,Spiral,Coma Berenices,8.5
NGC 3623,169.725,13.08333333,Galaxy,Spiral,Leo,9.3
NGC 3627,170.05,12.98333333,Galaxy,Spiral,Leo,8.9
NGC 2682,132.6,11.81666667,Cluster,Open,Cancer,6.1
NGC 4590,189.875,-26.75,Cluster,Globular,Hydra,7.8
NGC 6637,277.85,-32.35,Cluster,Globular,Sagittarius,7.6
NGC 6681,280.8,-32.3,Cluster,Globular,Sagittarius,7.9
NGC 6838,298.45,18.78333333,Cluster,Globular,Sagitta,8.3
NGC 6981,313.375,-12.53333333,Cluster,Globular,Aquarius,9.3
NGC 6994 Group of 4 stars,314.75,-12.63333333,Asterism,None,Aquarius,9
NGC 628,24.175,15.78333333,Galaxy,Spiral,Pisces,9.4
NGC 6864  ,301.525,-21.91666667,Cluster,Globular,Sagittarius,8.5
"NGC 650 Little Dumbell, Cork, Butterfly Nebula",25.575,51.56666667,Nebula,Planetary,Perseus,10.1
