Task,Stream,Start_dt,End_dt,Completionpct,Phases
TSK M,IT,3/17/2022,3/20/2022,0.0,Phase 1
TSK N,MKT,3/17/2022,3/19/2022,0.0,Phase 1
TSK L,ENG,3/10/2022,3/13/2022,0.0,Phase 1
TSK K,PROD,3/9/2022,3/13/2022,0.0,Phase 2
TSK J,PROD,3/4/2022,3/17/2022,0.0,Phase 2
TSK H,FIN,2/28/2022,3/2/2022,1.0,Phase 2
TSK I,MKT,2/28/2022,3/5/2022,0.4,Phase 2
TSK G,FIN,2/27/2022,3/3/2022,0.7,Phase 2
TSK F,MKT,2/26/2022,2/27/2022,1.0,Phase 2
TSK E,ENG,2/23/2022,3/9/2022,0.5,Phase 3
TSK D,FIN,2/22/2022,3/1/2022,1.0,Phase 3
TSK C,IT,2/21/2022,3/3/2022,0.9,Phase 3
TSK B,MKT,2/19/2022,2/24/2022,1.0,Phase 3
TSK A,MKT,2/15/2022,2/20/2022,1.0,Phase 3
